Название товара|Артикул|Параметр|Значение параметра
Сверло по металлу ZEBRA HSS, DIN338  d 2,8 мм| 0624000280|ШтрихКод|4038898696780
Сверло по металлу ZEBRA HSS, DIN338  d 2,8 мм| 0624000280|Артикул|0624000280
Сверло по металлу ZEBRA HSS, DIN338  d 5,1 мм| 0624000510|ШтрихКод|4038898517443
Сверло по металлу ZEBRA HSS, DIN338  d 5,1 мм| 0624000510|Артикул|0624000510
Сверло по металлу ZEBRA HSS, DIN338  d 10,2 мм| 0624001020|ШтрихКод|4038898517238
Сверло по металлу ZEBRA HSS, DIN338  d 10,2 мм| 0624001020|Артикул|0624001020
Сверло по металлу ZEBRA HSS, DIN338  d 3,3 мм| 0624000330|ШтрихКод|4038898517276
Сверло по металлу ZEBRA HSS, DIN338  d 3,3 мм| 0624000330|Артикул|0624000330
Сверло по металлу ZEBRA HSS, DIN338  d 3,4 мм| 0624000340|ШтрихКод|4038898517283
Сверло по металлу ZEBRA HSS, DIN338  d 3,4 мм| 0624000340|Артикул|0624000340
Сверло по металлу ZEBRA HSS, DIN338  d 4,3 мм| 0624000430|ШтрихКод|4038898696865
Сверло по металлу ZEBRA HSS, DIN338  d 4,3 мм| 0624000430|Артикул|0624000430
Сверло по металлу ZEBRA HSS, DIN338  d 6,4 мм| 0624000640|ШтрихКод|4038898697237
Сверло по металлу ZEBRA HSS, DIN338  d 6,4 мм| 0624000640|Артикул|0624000640
Сверло по металлу ZEBRA HSS, DIN338  d 6,7 мм| 0624000670|ШтрихКод|4038898697268
Сверло по металлу ZEBRA HSS, DIN338  d 6,7 мм| 0624000670|Артикул|0624000670
Сверло по металлу ZEBRA HSS, DIN338  d 2,2 мм| 0624000220|ШтрихКод|4038898696735
Сверло по металлу ZEBRA HSS, DIN338  d 2,2 мм| 0624000220|Артикул|0624000220
Сверло по металлу ZEBRA HSS, DIN338  d 4,8 мм| 0624000480|ШтрихКод|4038898696902
Сверло по металлу ZEBRA HSS, DIN338  d 4,8 мм| 0624000480|Артикул|0624000480
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 10,0 мм| 0624201000|ШтрихКод|4052712046001
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 10,0 мм| 0624201000|Артикул|0624201000
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 12,0 мм| 0624201200|ШтрихКод|4052712046056
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 12,0 мм| 0624201200|Артикул|0624201200
Сверло по металлу ZEBRA HSS, DIN338  d 8,7 мм| 0624000870|ШтрихКод|4038898703549
Сверло по металлу ZEBRA HSS, DIN338  d 8,7 мм| 0624000870|Артикул|0624000870
Сверло по металлу ZEBRA HSS, DIN338  d 2,4 мм| 0624000240|ШтрихКод|4038898696759
Сверло по металлу ZEBRA HSS, DIN338  d 2,4 мм| 0624000240|Артикул|0624000240
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,0 мм| 0624200300|ШтрихКод|4052712045837
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,0 мм| 0624200300|Артикул|0624200300
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,2 мм| 0624200320|ШтрихКод|4053479206516
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,2 мм| 0624200320|Артикул|0624200320
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 8,0 мм| 0624200800|ШтрихКод|4052712045967
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 8,0 мм| 0624200800|Артикул|0624200800
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 9,0 мм| 0624200900|ШтрихКод|4052712045981
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 9,0 мм| 0624200900|Артикул|0624200900
Сверло по металлу ZEBRA HSS, DIN338  d 15,5 мм| 0624001550|ШтрихКод|4038898703976
Сверло по металлу ZEBRA HSS, DIN338  d 15,5 мм| 0624001550|Артикул|0624001550
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 4,2 мм| 0624200420|ШтрихКод|4052712045875
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 4,2 мм| 0624200420|Артикул|0624200420
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 2,5 мм| 0624200250|ШтрихКод|4052712045820
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 2,5 мм| 0624200250|Артикул|0624200250
Набор сверел по металлу ZEBRA HSS, DIN338 d1,0-10,0x0,5 19 шт.| 0624000001|ШтрихКод|4038898708346
Набор сверел по металлу ZEBRA HSS, DIN338 d1,0-10,0x0,5 19 шт.| 0624000001|Артикул|0624000001
Сверло по металлу ZEBRA HSS, DIN338  d 10,0 мм| 0624001000|ШтрихКод|4038898517221
Сверло по металлу ZEBRA HSS, DIN338  d 10,0 мм| 0624001000|Артикул|0624001000
Сверло по металлу ZEBRA HSS, DIN338  d 5,0 мм| 0624000500|ШтрихКод|4038898517436
Сверло по металлу ZEBRA HSS, DIN338  d 5,0 мм| 0624000500|Артикул|0624000500
Сверло по металлу ZEBRA HSS, DIN338  d 6,0 мм| 0624000600|ШтрихКод|4038898517474
Сверло по металлу ZEBRA HSS, DIN338  d 6,0 мм| 0624000600|Артикул|0624000600
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,5 мм| 0624200350|ШтрихКод|4052712045851
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 3,5 мм| 0624200350|Артикул|0624200350
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 4,5 мм| 0624200450|ШтрихКод|4052712045882
Сверло удлиненное по металлу ZEBRA HSS, DIN340  d 4,5 мм| 0624200450|Артикул|0624200450
Сверло двухсторонее HSS d 4,2 мм, L 55/14| 063642|ШтрихКод|4011231530538
Сверло двухсторонее HSS d 4,2 мм, L 55/14| 063642|Артикул|063642
Сверло двухсторонне HSS d 3,2 мм, L 49/11,2| 063632|ШтрихКод|4011231530361
Сверло двухсторонне HSS d 3,2 мм, L 49/11,2| 063632|Артикул|063632
Сверло двухсторонне HSS d 5,0 мм, L 62/17| 063650|ШтрихКод|4011231530590
Сверло двухсторонне HSS d 5,0 мм, L 62/17| 063650|Артикул|063650
Сверло перьевое по дереву 1/4" L 150мм., d 10,0 мм| 0650007010|ШтрихКод|4050641636799
Сверло перьевое по дереву 1/4" L 150мм., d 10,0 мм| 0650007010|Артикул|0650007010
Сверло перьевое по дереву 1/4" L 150мм., d 16,0 мм| 0650007016|ШтрихКод|4050641636812
Сверло перьевое по дереву 1/4" L 150мм., d 16,0 мм| 0650007016|Артикул|0650007016
Сверло перьевое по дереву 1/4" L 150мм., d 18,0 мм| 0650007018|ШтрихКод|4050641636836
Сверло перьевое по дереву 1/4" L 150мм., d 18,0 мм| 0650007018|Артикул|0650007018
Сверло перьевое по дереву 1/4" L 150мм., d 20,0 мм| 0650007020|ШтрихКод|4050641636850
Сверло перьевое по дереву 1/4" L 150мм., d 20,0 мм| 0650007020|Артикул|0650007020
Сверло ступенчатое Optimum, HSS 4-30мм| 06944722430|Артикул|06944722430
Сверло ступенчатое Optimum, HSS 6-36мм| 06944722636|Артикул|06944722636
Набор конусных сверел HSS-TIN-(D3-30,5MM)| 069402501|ШтрихКод|4011231603782
Набор конусных сверел HSS-TIN-(D3-30,5MM)| 069402501|Артикул|069402501
Сверло конусное d 16-30,5 мм| 069402430|ШтрихКод|4011231603737
Сверло конусное d 16-30,5 мм| 069402430|Артикул|069402430
Сверло конусное d 5-20 мм| 069402420|ШтрихКод|4011231603720
Сверло конусное d 5-20 мм| 069402420|Артикул|069402420
Ступенчатое спиральное сверло (D4-20MM)| 0694422420|ШтрихКод|4050642840546
Ступенчатое спиральное сверло (D4-20MM)| 0694422420|Артикул|0694422420
Ступенчатое спиральное сверло (D6-30MM)| 0694422630|ШтрихКод|4050642840621
Ступенчатое спиральное сверло (D6-30MM)| 0694422630|Артикул|0694422630
Ступенчатое спиральное сверло TIALN-(D4-20MM)| 0694423420|ШтрихКод|4050642840553
Ступенчатое спиральное сверло TIALN-(D4-20MM)| 0694423420|Артикул|0694423420
Ступенчатое спиральное сверло TIALN-(D6-30MM)| 0694423630|ШтрихКод|4050642840638
Ступенчатое спиральное сверло TIALN-(D6-30MM)| 0694423630|Артикул|0694423630
Набор сверел конусных HSS d3-30,5 мм 3 шт.| 069402401|ШтрихКод|4011231603706
Набор сверел конусных HSS d3-30,5 мм 3 шт.| 069402401|Артикул|069402401
Ступенчатое спиральное сверло TIALN-(D6-30MM)| 0694458630|ШтрихКод|4061975356185
Ступенчатое спиральное сверло TIALN-(D6-30MM)| 0694458630|Артикул|0694458630
Сверло ступенчатое спиральное d6-30 мм| 0694453630|ШтрихКод|4061975354457
Сверло ступенчатое спиральное d6-30 мм| 0694453630|Артикул|0694453630
Центровочное сверло HSS, DIN 333, d 1.0 мм, L 31,5| 0636110|ШтрихКод|4011231530156
Центровочное сверло HSS, DIN 333, d 1.0 мм, L 31,5| 0636110|Артикул|0636110
Центровочное сверло HSS, DIN 333, d 1.6 мм, L 35,5| 0636116|ШтрихКод|4011231530163
Центровочное сверло HSS, DIN 333, d 1.6 мм, L 35,5| 0636116|Артикул|0636116
Центровочное сверло HSS, DIN 333, d 2.0 мм, L 40,0| 0636120|ШтрихКод|4011231530170
Центровочное сверло HSS, DIN 333, d 2.0 мм, L 40,0| 0636120|Артикул|0636120
Центровочное сверло HSS, DIN 333, d 2.5 мм, L 45,0| 0636125|ШтрихКод|4011231530187
Центровочное сверло HSS, DIN 333, d 2.5 мм, L 45,0| 0636125|Артикул|0636125
Центровочное сверло HSS, DIN 333, d 3.15 мм, L 50,0| 06361315|ШтрихКод|4011231530194
Центровочное сверло HSS, DIN 333, d 3.15 мм, L 50,0| 06361315|Артикул|06361315
Центровочное сверло HSS, DIN 333, d 4.0 мм, L 56,0| 0636140|ШтрихКод|4011231530200
Центровочное сверло HSS, DIN 333, d 4.0 мм, L 56,0| 0636140|Артикул|0636140
Фреза цилиндрическая 3 х 14 мм HM-WRC-MX| 0616002000|ШтрихКод|4053478099676
Фреза цилиндрическая 3 х 14 мм HM-WRC-MX| 0616002000|Артикул|0616002000
Набор фрез HM-ALU 5 шт| 0616800000|ШтрихКод|4053479149714
Набор фрез HM-ALU 5 шт| 0616800000|Артикул|0616800000
Фреза ALU-D12-AL25MM| 0616002441|ШтрихКод|4053478100259
Фреза ALU-D12-AL25MM| 0616002441|Артикул|0616002441
Фреза D12-AL30MM| 0616006041|ШтрихКод|4053478099737
Фреза D12-AL30MM| 0616006041|Артикул|0616006041
Фреза D6-AL18MM| 0616001011|ШтрихКод|4053478099560
Фреза D6-AL18MM| 0616001011|Артикул|0616001011
Фреза D9,6-AL19MM| 0616001031|ШтрихКод|4053478099584
Фреза D9,6-AL19MM| 0616001031|Артикул|0616001031
Фреза HM-D6-AL4,7MM| 0616003010|ШтрихКод|4053478099645
Фреза HM-D6-AL4,7MM| 0616003010|Артикул|0616003010
Фреза HM-D9,6-AL8MM| 0616003031|ШтрихКод|4053478099652
Фреза HM-D9,6-AL8MM| 0616003031|Артикул|0616003031
Фреза HM-RBF-ALU-D12-AL25MM| 0616004441|ШтрихКод|4053478100297
Фреза HM-RBF-ALU-D12-AL25MM| 0616004441|Артикул|0616004441
Фреза HM-RBF-ALU-D6-AL18MM| 0616004411|ШтрихКод|4053478100280
Фреза HM-RBF-ALU-D6-AL18MM| 0616004411|Артикул|0616004411
Фреза HM-TRE-MX-D12-AL21MM| 0616005041|ШтрихКод|4053478099850
Фреза HM-TRE-MX-D12-AL21MM| 0616005041|Артикул|0616005041
Фреза HM-ZYAS-ALU-D12-AL25MM| 0616001441|ШтрихКод|4053478100211
Фреза HM-ZYAS-ALU-D12-AL25MM| 0616001441|Артикул|0616001441
Фреза HM-ZYAS-ALU-D6-AL16MM| 0616001411|ШтрихКод|4053478100204
Фреза HM-ZYAS-ALU-D6-AL16MM| 0616001411|Артикул|0616001411
Фреза MX-D6-AL18MM| 0616007011|ШтрихКод|4053478099874
Фреза MX-D6-AL18MM| 0616007011|Артикул|0616007011
Фреза SPG-MX-D9,6-AL19MM| 0616007031|ШтрихКод|4053478099904
Фреза SPG-MX-D9,6-AL19MM| 0616007031|Артикул|0616007031
Фреза WRC 6*18*6| 0616002011|ШтрихКод|4053478099683
Фреза WRC 6*18*6| 0616002011|Артикул|0616002011
Фреза WRC 9.6*19*6| 0616002031|ШтрихКод|4053478099706
Фреза WRC 9.6*19*6| 0616002031|Артикул|0616002031
Набор фрез HM-MX 5 шт| 0616500000|ШтрихКод|4053479149530
Набор фрез HM-MX 5 шт| 0616500000|Артикул|0616500000
Набор фрез MX 10 шт.| 0616100|ШтрихКод|4011231515184
Набор фрез MX 10 шт.| 0616100|Артикул|0616100
Фреза D10-AL20MM| 0616009031|ШтрихКод|4053478099966
Фреза D10-AL20MM| 0616009031|Артикул|0616009031
Шарошка корундовая, конус d 20мм./ I 20мм| 068021|ШтрихКод|4011231558433
Шарошка корундовая, конус d 20мм./ I 20мм| 068021|Артикул|068021
Шарошка корундовая, конус-цилиндр d 20мм./ I 25мм| 068051|ШтрихКод|4011231558525
Шарошка корундовая, конус-цилиндр d 20мм./ I 25мм| 068051|Артикул|068051
Шарошка корундовая, острый конус d 13мм./ I 20мм| 068041|ШтрихКод|4011231558495
Шарошка корундовая, острый конус d 13мм./ I 20мм| 068041|Артикул|068041
Шарошка корундовая, скругл.цилиндр  d 20мм./ I 25мм| 068061|ШтрихКод|4011231558556
Шарошка корундовая, скругл.цилиндр  d 20мм./ I 25мм| 068061|Артикул|068061
Шарошка корундовая, цилиндр d 10мм./ I 13мм| 068071|ШтрихКод|4011231558587
Шарошка корундовая, цилиндр d 10мм./ I 13мм| 068071|Артикул|068071
Шарошка корундовая, цилиндр d 13мм./ I 20мм| 068072|ШтрихКод|4011231558617
Шарошка корундовая, цилиндр d 13мм./ I 20мм| 068072|Артикул|068072
Шарошка корундовая, цилиндр d 20мм./ I 12мм| 068074|ШтрихКод|4011231558679
Шарошка корундовая, цилиндр d 20мм./ I 12мм| 068074|Артикул|068074
Шарошка корундовая, цилиндр d 20мм./ I 30мм| 068075|ШтрихКод|4011231558709
Шарошка корундовая, цилиндр d 20мм./ I 30мм| 068075|Артикул|068075
Шарошка корундовая, цилиндр d 20мм./ I 6мм| 068073|ШтрихКод|4011231558648
Шарошка корундовая, цилиндр d 20мм./ I 6мм| 068073|Артикул|068073
Шарошка корундовая, цилиндр d 25мм./ I 25мм| 068076|ШтрихКод|4011231558730
Шарошка корундовая, цилиндр d 25мм./ I 25мм| 068076|Артикул|068076
Шарошка корундовая, цилиндр d 32мм./ I 16мм| 068077|ШтрихКод|4011231558761
Шарошка корундовая, цилиндр d 32мм./ I 16мм| 068077|Артикул|068077
Шарошка корундовая, цилиндр d 40мм./ I 20мм| 068078|ШтрихКод|4011231558792
Шарошка корундовая, цилиндр d 40мм./ I 20мм| 068078|Артикул|068078
Шарошка корундовая,сфера d 16мм.| 068031|ШтрихКод|4011231558464
Шарошка корундовая,сфера d 16мм.| 068031|Артикул|068031
Очиститель клем АКБ, цилиндрический,130мм| 0695589544|ШтрихКод|4011231605939
Очиститель клем АКБ, цилиндрический,130мм| 0695589544|Артикул|0695589544
Щетка-ершик,проволочная универсальная (сталь d 0,5), d 65 мм| 071469 01|ШтрихКод|4024835111072
Щетка-ершик,проволочная универсальная (сталь d 0,5), d 65 мм| 071469 01|Артикул|071469 01
Щетка-ершик проволочная (нерж. сталь d 0,35 ), d 65 мм| 071469201|ШтрихКод|4024835073301
Щетка-ершик проволочная (нерж. сталь d 0,35 ), d 65 мм| 071469201|Артикул|071469201
Щетка-ершик проволочная универсальная (нерж. сталь d 0,5), d 125мм| 0714692512|ШтрихКод|4038898399803
Щетка-ершик проволочная универсальная (нерж. сталь d 0,5), d 125мм| 0714692512|Артикул|0714692512
Щетка-ершик проволочная универсальная (сталь d 0,5) , d 125 мм| 0714691512|ШтрихКод|4038898396871
Щетка-ершик проволочная универсальная (сталь d 0,5) , d 125 мм| 0714691512|Артикул|0714691512
Щетка с валом (проволока нерж. сталь d0,3), d 60 мм| 0714692301|ШтрихКод|4050642383784
Щетка с валом (проволока нерж. сталь d0,3), d 60 мм| 0714692301|Артикул|0714692301
Щетка-ершик торцевая (проволока нерж. сталь d0,3), d 12 мм| 0714692200|ШтрихКод|4050642385597
Щетка-ершик торцевая (проволока нерж. сталь d0,3), d 12 мм| 0714692200|Артикул|0714692200
Щетка чашечная (проволока нерж. сталь d0,35 ), d 65 мм| 071469 12|ШтрихКод|4011231722858
Щетка чашечная (проволока нерж. сталь d0,35 ), d 65 мм| 071469 12|Артикул|071469 12
Щетка для очистки отверстий в бетоне, d 24 мм| 0905499007|ШтрихКод|4046778458502
Щетка для очистки отверстий в бетоне, d 24 мм| 0905499007|Артикул|0905499007
Щетка-ершик d14X180мм, для очистки отв.под шпильку M10| 0903489614|ШтрихКод|4062856005116
Щетка-ершик d14X180мм, для очистки отв.под шпильку M10| 0903489614|Артикул|0903489614
Щетка для очистки отверстий в бетоне, d 20 мм| 0905499006|ШтрихКод|4045727188880
Щетка для очистки отверстий в бетоне, d 20 мм| 0905499006|Артикул|0905499006
Удлинитель шестигранный 100 мм для щетки арт. 09034896…| 0905499101|ШтрихКод|4045727188897
Удлинитель шестигранный 100 мм для щетки арт. 09034896…| 0905499101|Артикул|0905499101
Удлинитель 270 мм, для щетки арт. 09054990…| 0905499111|ШтрихКод|4045727189146
Удлинитель 270 мм, для щетки арт. 09054990…| 0905499111|Артикул|0905499111
Щетка-ершик d12X140мм, для очистки отв.под шпильку M8| 0903489612|ШтрихКод|4062856005178
Щетка-ершик d12X140мм, для очистки отв.под шпильку M8| 0903489612|Артикул|0903489612
Щетка-ершик d18X200мм, для очистки отв.под шпильку M14| 0903489618|ШтрихКод|4062856005130
Щетка-ершик d18X200мм, для очистки отв.под шпильку M14| 0903489618|Артикул|0903489618
Жакет| M411196001|Артикул|M411196001
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086453|ШтрихКод|4061975349774
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086453|Артикул|086453
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|ШтрихКод|4050382619877
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Артикул|0864541
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Калибр|6,3/16
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Мощность заряда патрона|Очень сильный (красный)
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Цвет|Крас.
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Количество картриджей|10 шт.
Патрон 6,3/16 для BSG MF-14, большая мощность заряда, красный| 0864541|Категория устройства|BSG MF-14 S / ASTM MF-14
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|ШтрихКод|4050641828576
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Артикул|0864531
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Калибр|6,3/16 M
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Мощность заряда патрона|Средне-сильный (желтый)
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Цвет|Желт.
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Количество картриджей|10 шт.
Патрон 6,3/16 для BSG MF-14, малая мощность заряда, желтый| 0864531|Категория устройства|BSG MF-14 S / ASTM MF-14
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|ШтрихКод|4050382619860
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Артикул|0864535
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Калибр|6,3/16
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Мощность заряда патрона|Сильный (синий)
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Цвет|Синий
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Количество картриджей|10 шт.
Патрон 6,3/16 для BSG MF-14, средняя мощность заряда, голубой| 0864535|Категория устройства|BSG MF-14 S / ASTM MF-14
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086451|ШтрихКод|4024835023382
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086451|Артикул|086451
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086451|Калибр|6,8/11M
Патрон, 6,8/11м, для BST MA-75 и BST 350, максимальная мощность заряда, красный| 086451|Мощность заряда патрона|Очень сильный (красный)
Патрон, 6,8/11м, для BST MA-75 и BST 350, средней мощности заряда, желтый| 086441|ШтрихКод|4024835023405
Патрон, 6,8/11м, для BST MA-75 и BST 350, средней мощности заряда, желтый| 086441|Артикул|086441
Патрон, 6,8/11м, для BST MA-75 и BST 350, средней мощности заряда, желтый| 086441|Калибр|6,8/11M
Патрон, 6,8/11м, для BST MA-75 и BST 350, средней мощности заряда, желтый| 086441|Мощность заряда патрона|Средне-сильный (желтый)
Газовый баллон для DIGA CS-2 POWER| 0864900500|ШтрихКод|4050382444202
Газовый баллон для DIGA CS-2 POWER| 0864900500|Артикул|0864900500
Газовый баллон для DIGA CS-2 POWER| 0864900500|Упаковка|Баллон
Газовый баллон для DIGA CS-2 POWER| 0864900500|Содержание|80 мл
Газовый баллон для DIGA CS-2 POWER| 0864900500|Химическая основа|Пропилен
Гвозди монтажные в магазине MF-14| 0864560114|ШтрихКод|4050382619587
Гвозди монтажные в магазине MF-14| 0864560114|Артикул|0864560114
Гвозди монтажные в магазине MF-14| 0864560114|Тех.Картинка|9999
Гвозди монтажные в магазине MF-14| 0864560114|Диаметр хвостовика|4,5 мм
Гвозди монтажные в магазине MF-14| 0864560114|Диаметр головки (O dk)|14 мм
Гвозди монтажные в магазине MF-14| 0864560114|Категория устройства|ASTM MF-14
Гвозди монтажные в магазине MF-14| 0864560114|Материал|Сталь
Гвозди монтажные в магазине MF-14| 0864560114|Поверхность|Механическая оцинковка
Гвоздь HN 101, 32MM| 0864101032|ШтрихКод|4011231794640
Гвоздь HN 101, 32MM| 0864101032|Артикул|0864101032
Гвоздь HN 101, 32MM| 0864101032|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/147126.jpg
Гвоздь HN 101, 32MM| 0864101032|Диаметр хвостовика|3,7 мм
Гвоздь HN 101, 32MM| 0864101032|Категория устройства|Wurth DIVA 1 / Premium / Wurth BST 1, BST 2 / Berner BSG 2, 200, 201 / Spit P 60, P 200 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460 / Hilti DX A40
Гвоздь HN 101, 32MM| 0864101032|Материал|Сталь
Гвоздь HN 101, 32MM| 0864101032|Поверхность|Оцинкованный
Гвоздь HN 101, 37MM| 0864101037|ШтрихКод|4011231794664
Гвоздь HN 101, 37MM| 0864101037|Артикул|0864101037
Гвоздь HN 101, 37MM| 0864101037|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/147126.jpg
Гвоздь HN 101, 37MM| 0864101037|Диаметр хвостовика|3,7 мм
Гвоздь HN 101, 37MM| 0864101037|Категория устройства|Wurth DIVA 1 / Premium / Wurth BST 1, BST 2 / Berner BSG 2, 200, 201 / Spit P 60, P 200 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460 / Hilti DX A40
Гвоздь HN 101, 37MM| 0864101037|Материал|Сталь
Гвоздь HN 101, 37MM| 0864101037|Поверхность|Оцинкованный
Гвоздь HN 101, 47MM| 0864101047|ШтрихКод|4024835806725
Гвоздь HN 101, 47MM| 0864101047|Артикул|0864101047
Гвоздь HN 101, 47MM| 0864101047|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/147126.jpg
Гвоздь HN 101, 47MM| 0864101047|Диаметр хвостовика|3,7 мм
Гвоздь HN 101, 47MM| 0864101047|Диаметр головки (O dk)|8 мм
Гвоздь HN 101, 47MM| 0864101047|Категория устройства|Wurth DIVA 1 / Premium / Wurth BST 1, BST 2 / Berner BSG 2, 200, 201 / Spit P 60, P 200 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460 / Hilti DX A40
Гвоздь HN 101, 47MM| 0864101047|Материал|Сталь
Гвоздь HN 101, 47MM| 0864101047|Поверхность|Оцинкованный
Гвоздь HN 101, 52MM| 0864101052|ШтрихКод|4024835791892
Гвоздь HN 101, 52MM| 0864101052|Артикул|0864101052
Гвоздь HN 101, 52MM| 0864101052|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/147126.jpg
Гвоздь HN 101, 52MM| 0864101052|Диаметр хвостовика|3,7 мм
Гвоздь HN 101, 52MM| 0864101052|Категория устройства|Wurth DIVA 1 / Premium / Wurth BST 1, BST 2 / Berner BSG 2, 200, 201 / Spit P 60, P 200 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460 / Hilti DX A40
Гвоздь HN 101, 52MM| 0864101052|Материал|Сталь
Гвоздь HN 101, 52MM| 0864101052|Поверхность|Оцинкованный
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|ШтрихКод|4052703080694
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Артикул|0864221032
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/39485.jpg
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Диаметр хвостовика|3,7 мм
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Категория устройства|Hilti DX A40 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Материал|Сталь
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Поверхность|Оцинкованный
Гвоздь в магазине по 10шт, UMA 221/10, 32мм| 0864221032|Длина магазина (LG)|93 мм
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|ШтрихКод|4052703080885
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Артикул|0864221037
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Тех.Картинка|https://media.wuerth.com/source/eshop/stmedia/wuerth/images/std.lang.all/resolutions/category/800px/39485.jpg
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Диаметр хвостовика|3,7 мм
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Категория устройства|Hilti DX A40 / Hilti DX A41 / Wurth BST MA-75 (комплект для одноимпульсной затяжки отдельных креплений), Hilti DX 350, DX 36M, DX 460
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Материал|Сталь
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Поверхность|Оцинкованный
Гвоздь в магазине по 10шт, UMA 221/10, 37мм| 0864221037|Длина магазина (LG)|93 мм
